year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,13,20,29,130.0,4.6,,28.118,-93.67,,
2010,1,13,20,44,120.0,3.6,,28.118,-93.67,,
2010,1,13,20,59,130.0,5.7,,28.118,-93.67,,
2010,1,13,21,14,150.0,4.1,,28.118,-93.67,,
2010,1,13,21,29,130.0,4.6,,28.118,-93.67,,
2010,1,13,21,44,130.0,5.7,,28.118,-93.67,,
2010,1,13,21,59,140.0,4.6,,28.118,-93.67,,
2010,1,13,22,14,140.0,4.1,,28.118,-93.67,,
2010,1,13,22,44,140.0,4.6,,28.118,-93.67,,
2010,1,13,22,59,150.0,4.6,,28.118,-93.67,,
2010,1,13,23,14,150.0,4.6,,28.118,-93.67,,
2010,1,13,23,29,140.0,4.1,,28.118,-93.67,,
2010,1,13,23,44,140.0,4.1,,28.118,-93.67,,
2010,1,13,23,59,140.0,4.6,,28.118,-93.67,,
2010,1,14,0,14,130.0,4.6,,28.118,-93.67,,
2010,1,14,0,29,150.0,4.1,,28.118,-93.67,,
2010,1,14,0,44,140.0,5.1,,28.118,-93.67,,
2010,1,14,0,59,130.0,4.6,,28.118,-93.67,,
2010,1,14,1,14,120.0,3.6,,28.118,-93.67,,
2010,1,14,1,29,110.0,5.1,,28.118,-93.67,,
2010,1,14,1,44,120.0,4.6,,28.118,-93.67,,
2010,1,14,1,59,120.0,5.7,,28.118,-93.67,,
2010,1,14,2,14,130.0,5.1,,28.118,-93.67,,
2010,1,14,2,29,130.0,6.2,,28.118,-93.67,,
2010,1,14,2,44,140.0,5.1,,28.118,-93.67,,
2010,1,14,2,59,140.0,4.6,,28.118,-93.67,,
2010,1,14,3,14,130.0,5.7,,28.118,-93.67,,
2010,1,14,3,29,130.0,4.6,,28.118,-93.67,,
2010,1,14,3,44,130.0,5.1,,28.118,-93.67,,
2010,1,14,3,59,150.0,5.7,,28.118,-93.67,,
2010,1,14,4,14,140.0,5.1,,28.118,-93.67,,
2010,1,14,4,29,140.0,5.7,,28.118,-93.67,,
2010,1,14,4,44,140.0,5.1,,28.118,-93.67,,
2010,1,14,4,59,140.0,5.7,,28.118,-93.67,,
2010,1,14,5,14,140.0,5.1,,28.118,-93.67,,
2010,1,14,5,29,150.0,4.6,,28.118,-93.67,,
2010,1,14,5,44,150.0,4.1,,28.118,-93.67,,
2010,1,14,5,59,140.0,5.7,,28.118,-93.67,,
2010,1,14,6,14,150.0,5.7,,28.118,-93.67,,
2010,1,14,6,29,150.0,6.2,,28.118,-93.67,,
2010,1,14,6,44,140.0,6.2,,28.118,-93.67,,
2010,1,14,6,59,150.0,4.6,,28.118,-93.67,,
2010,1,14,7,14,150.0,6.2,,28.118,-93.67,,
2010,1,14,7,29,130.0,5.7,,28.118,-93.67,,
2010,1,14,7,44,150.0,6.7,,28.118,-93.67,,
2010,1,14,7,59,140.0,7.7,,28.118,-93.67,,
2010,1,14,8,14,160.0,7.2,,28.118,-93.67,,
2010,1,14,8,29,150.0,5.7,,28.118,-93.67,,
2010,1,14,8,44,140.0,5.1,,28.118,-93.67,,
2010,1,14,8,59,140.0,6.2,,28.118,-93.67,,
2010,1,14,9,14,130.0,6.7,,28.118,-93.67,,
2010,1,14,9,29,160.0,5.7,,28.118,-93.67,,
2010,1,14,9,44,150.0,6.2,,28.118,-93.67,,
2010,1,14,9,59,140.0,6.7,,28.118,-93.67,,
2010,1,14,10,14,140.0,6.7,,28.118,-93.67,,
2010,1,14,10,29,150.0,7.7,,28.118,-93.67,,
2010,1,14,10,44,150.0,6.7,,28.118,-93.67,,
2010,1,14,10,59,150.0,6.2,,28.118,-93.67,,
2010,1,14,11,14,150.0,7.2,,28.118,-93.67,,
2010,1,14,11,29,150.0,6.7,,28.118,-93.67,,
2010,1,14,11,44,150.0,7.7,,28.118,-93.67,,
2010,1,14,11,59,150.0,7.7,,28.118,-93.67,,
2010,1,14,12,14,150.0,7.7,,28.118,-93.67,,
2010,1,14,12,29,150.0,7.2,,28.118,-93.67,,
2010,1,14,12,44,150.0,9.8,,28.118,-93.67,,
2010,1,14,12,59,150.0,8.8,,28.118,-93.67,,
2010,1,14,13,14,150.0,9.8,,28.118,-93.67,,
2010,1,14,13,29,150.0,10.3,,28.118,-93.67,,
2010,1,14,13,44,150.0,9.3,,28.118,-93.67,,
2010,1,14,13,59,150.0,8.2,,28.118,-93.67,,
2010,1,14,14,14,140.0,9.3,,28.118,-93.67,,
2010,1,14,14,29,150.0,8.8,,28.118,-93.67,,
2010,1,14,14,44,150.0,10.3,,28.118,-93.67,,
2010,1,14,14,59,140.0,11.3,,28.118,-93.67,,
2010,1,14,15,14,140.0,10.3,,28.118,-93.67,,
2010,1,14,15,29,150.0,10.3,,28.118,-93.67,,
2010,1,14,15,44,150.0,9.8,,28.118,-93.67,,
2010,1,14,15,59,140.0,10.8,,28.118,-93.67,,
2010,1,14,16,14,140.0,11.8,,28.118,-93.67,,
2010,1,14,16,29,150.0,11.3,,28.118,-93.67,,
2010,1,14,16,44,140.0,11.3,,28.118,-93.67,,
2010,1,14,16,59,140.0,11.3,,28.118,-93.67,,
2010,1,14,17,14,140.0,10.8,,28.118,-93.67,,
2010,1,14,17,29,140.0,11.3,,28.118,-93.67,,
2010,1,14,17,44,140.0,11.8,,28.118,-93.67,,
2010,1,14,17,59,140.0,11.3,,28.118,-93.67,,
2010,1,14,18,14,150.0,11.3,,28.118,-93.67,,
2010,1,14,18,29,140.0,9.3,,28.118,-93.67,,
2010,1,14,18,44,150.0,11.3,,28.118,-93.67,,
2010,1,14,18,59,150.0,10.3,,28.118,-93.67,,
2010,1,14,19,14,140.0,10.3,,28.118,-93.67,,
2010,1,14,19,29,140.0,11.3,,28.118,-93.67,,
2010,1,14,19,44,140.0,11.3,,28.118,-93.67,,
2010,1,14,19,59,140.0,9.8,,28.118,-93.67,,
2010,1,14,20,14,140.0,10.3,,28.118,-93.67,,
2010,1,14,20,29,140.0,9.8,,28.118,-93.67,,
2010,1,14,20,44,150.0,10.3,,28.118,-93.67,,
2010,1,14,20,59,140.0,10.8,,28.118,-93.67,,
2010,1,14,21,14,150.0,10.8,,28.118,-93.67,,
2010,1,14,21,29,130.0,10.3,,28.118,-93.67,,
2010,1,14,21,44,140.0,10.8,,28.118,-93.67,,
2010,1,14,21,59,140.0,10.8,,28.118,-93.67,,
2010,1,14,22,14,140.0,11.3,,28.118,-93.67,,
2010,1,14,22,29,140.0,11.3,,28.118,-93.67,,
2010,1,14,22,44,140.0,10.3,,28.118,-93.67,,
2010,1,14,22,59,140.0,10.8,,28.118,-93.67,,
2010,1,14,23,14,140.0,9.8,,28.118,-93.67,,
2010,1,14,23,29,140.0,10.3,,28.118,-93.67,,
2010,1,14,23,44,140.0,11.3,,28.118,-93.67,,
2010,1,14,23,59,130.0,10.3,,28.118,-93.67,,
2010,1,15,0,14,140.0,10.8,,28.118,-93.67,,
2010,1,15,0,29,140.0,9.3,,28.118,-93.67,,
2010,1,15,0,44,140.0,10.8,,28.118,-93.67,,
2010,1,15,0,59,130.0,10.8,,28.118,-93.67,,
2010,1,15,1,14,130.0,10.8,,28.118,-93.67,,
2010,1,15,1,29,130.0,11.8,,28.118,-93.67,,
2010,1,15,1,44,130.0,11.3,,28.118,-93.67,,
2010,1,15,1,59,130.0,10.8,,28.118,-93.67,,
2010,1,15,2,14,130.0,12.4,,28.118,-93.67,,
2010,1,15,2,29,140.0,11.8,,28.118,-93.67,,
