year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed
2010,3,3,4,30,261.0,0.06,27.939,96.843,,
2010,3,3,5,0,270.0,0.07,27.939,96.843,,
2010,3,3,8,30,355.0,0.107,27.939,96.843,,
2010,3,3,9,0,357.0,0.113,27.939,96.843,,
2010,3,3,9,30,359.0,0.107,27.939,96.843,,
2010,3,3,10,0,358.0,0.1369999999999999,27.939,96.843,,
2010,3,3,10,30,5.0,0.14,27.939,96.843,,
2010,3,3,11,0,9.0,0.1689999999999999,27.939,96.843,,
2010,3,3,11,30,15.0,0.179,27.939,96.843,,
2010,3,3,12,0,26.0,0.179,27.939,96.843,,
2010,3,3,15,30,62.0,0.176,27.939,96.843,,
2010,3,3,16,0,62.0,0.1639999999999999,27.939,96.843,,
2010,3,3,16,30,64.0,0.178,27.939,96.843,,
2010,3,3,17,0,61.0,0.162,27.939,96.843,,
2010,3,3,17,30,75.0,0.157,27.939,96.843,,
2010,3,3,18,0,76.0,0.17,27.939,96.843,,
2010,3,3,18,30,86.0,0.151,27.939,96.843,,
2010,3,3,19,0,103.0,0.13,27.939,96.843,,
2010,3,3,19,30,124.0,0.135,27.939,96.843,,
2010,3,3,20,0,138.0,0.093,27.939,96.843,,
2010,3,3,20,30,174.0,0.072,27.939,96.843,,
2010,3,3,21,0,200.0,0.07,27.939,96.843,,
2010,3,3,21,30,213.0,0.065,27.939,96.843,,
2010,3,3,22,0,232.0,0.0819999999999999,27.939,96.843,,
2010,3,3,22,30,219.0,0.105,27.939,96.843,,
2010,3,3,23,0,228.0,0.089,27.939,96.843,,
2010,3,3,23,30,222.0,0.091,27.939,96.843,,
2010,3,4,0,0,215.0,0.084,27.939,96.843,,
2010,3,4,4,30,227.0,0.09,27.939,96.843,,
2010,3,4,5,0,223.0,0.087,27.939,96.843,,
2010,3,4,5,30,229.0,0.098,27.939,96.843,,
2010,3,4,6,0,228.0,0.0969999999999999,27.939,96.843,,
2010,3,4,6,30,225.0,0.096,27.939,96.843,,
2010,3,4,7,0,227.0,0.104,27.939,96.843,,
2010,3,4,7,30,223.0,0.1009999999999999,27.939,96.843,,
2010,3,4,8,0,223.0,0.096,27.939,96.843,,
2010,3,4,8,30,216.0,0.121,27.939,96.843,,
2010,3,4,9,0,213.0,0.1159999999999999,27.939,96.843,,
2010,3,4,9,30,207.0,0.118,27.939,96.843,,
2010,3,4,10,0,202.0,0.128,27.939,96.843,,
2010,3,4,10,30,205.0,0.13,27.939,96.843,,
2010,3,4,11,0,212.0,0.1369999999999999,27.939,96.843,,
2010,3,4,11,30,206.0,0.153,27.939,96.843,,
2010,3,4,12,0,205.0,0.17,27.939,96.843,,
2010,3,4,12,30,207.0,0.189,27.939,96.843,,
2010,3,4,13,0,206.0,0.176,27.939,96.843,,
2010,3,4,13,30,206.0,0.157,27.939,96.843,,
2010,3,4,14,0,214.0,0.189,27.939,96.843,,
2010,3,4,14,30,203.0,0.217,27.939,96.843,,
2010,3,4,15,0,204.0,0.185,27.939,96.843,,
2010,3,4,15,30,207.0,0.203,27.939,96.843,,
2010,3,4,16,0,202.0,0.218,27.939,96.843,,
2010,3,4,16,30,202.0,0.221,27.939,96.843,,
2010,3,4,17,0,204.0,0.245,27.939,96.843,,
2010,3,4,17,30,210.0,0.2339999999999999,27.939,96.843,,
2010,3,4,18,0,215.0,0.2289999999999999,27.939,96.843,,
2010,3,4,18,30,219.0,0.259,27.939,96.843,,
2010,3,4,19,0,225.0,0.233,27.939,96.843,,
2010,3,4,19,30,229.0,0.231,27.939,96.843,,
2010,3,4,20,0,236.0,0.197,27.939,96.843,,
2010,3,4,20,30,236.0,0.213,27.939,96.843,,
2010,3,4,21,0,240.0,0.215,27.939,96.843,,
2010,3,4,21,30,244.0,0.1939999999999999,27.939,96.843,,
2010,3,4,22,0,247.0,0.196,27.939,96.843,,
2010,3,4,23,30,248.0,0.173,27.939,96.843,,
2010,3,5,0,0,243.0,0.177,27.939,96.843,,
2010,3,5,0,30,252.0,0.168,27.939,96.843,,
2010,3,5,1,0,247.0,0.16,27.939,96.843,,
2010,3,5,1,30,245.0,0.178,27.939,96.843,,
2010,3,5,2,0,242.0,0.1639999999999999,27.939,96.843,,
2010,3,5,2,30,244.0,0.173,27.939,96.843,,
2010,3,5,3,0,242.0,0.174,27.939,96.843,,
2010,3,5,3,30,240.0,0.1939999999999999,27.939,96.843,,
2010,3,5,4,0,235.0,0.197,27.939,96.843,,
2010,3,5,4,30,233.0,0.214,27.939,96.843,,
2010,3,5,5,0,234.0,0.218,27.939,96.843,,
2010,3,5,5,30,231.0,0.221,27.939,96.843,,
2010,3,5,6,0,231.0,0.2319999999999999,27.939,96.843,,
2010,3,5,6,30,228.0,0.249,27.939,96.843,,
2010,3,5,7,0,231.0,0.238,27.939,96.843,,
2010,3,5,7,30,223.0,0.28,27.939,96.843,,
2010,3,5,8,0,232.0,0.271,27.939,96.843,,
2010,3,5,8,30,232.0,0.276,27.939,96.843,,
2010,3,5,9,0,231.0,0.31,27.939,96.843,,
2010,3,5,9,30,236.0,0.304,27.939,96.843,,
2010,3,5,10,0,235.0,0.303,27.939,96.843,,
2010,3,5,10,30,236.0,0.31,27.939,96.843,,
2010,3,5,11,0,236.0,0.314,27.939,96.843,,
2010,3,5,11,30,234.0,0.322,27.939,96.843,,
2010,3,5,12,0,236.0,0.322,27.939,96.843,,
2010,3,5,12,30,236.0,0.307,27.939,96.843,,
2010,3,5,13,0,233.0,0.307,27.939,96.843,,
2010,3,5,13,30,230.0,0.301,27.939,96.843,,
2010,3,5,14,0,234.0,0.302,27.939,96.843,,
2010,3,5,14,30,235.0,0.299,27.939,96.843,,
2010,3,5,15,0,228.0,0.322,27.939,96.843,,
2010,3,5,15,30,227.0,0.321,27.939,96.843,,
2010,3,5,16,0,234.0,0.296,27.939,96.843,,
