year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed,temp
2010,4,1,0,0,302.0,0.066,29.635,93.642,,,
2010,4,1,0,30,276.0,0.064,29.635,93.642,,,
2010,4,1,1,0,278.0,0.068,29.635,93.642,,,
2010,4,1,1,30,283.0,0.0819999999999999,29.635,93.642,,,
2010,4,1,2,0,310.0,0.068,29.635,93.642,,,
2010,4,1,2,30,321.0,0.083,29.635,93.642,,,
2010,4,1,3,0,329.0,0.136,29.635,93.642,,,
2010,4,1,3,30,337.0,0.159,29.635,93.642,,,
2010,4,1,4,0,351.0,0.154,29.635,93.642,,,
2010,4,1,4,30,,0.188,29.635,93.642,,,
2010,4,1,5,0,351.0,0.161,29.635,93.642,,,
2010,4,1,5,30,353.0,0.206,29.635,93.642,,,
2010,4,1,6,0,355.0,0.207,29.635,93.642,,,
2010,4,1,6,30,357.0,0.217,29.635,93.642,,,
2010,4,1,7,0,356.0,0.173,29.635,93.642,,,
2010,4,1,7,30,351.0,0.12,29.635,93.642,,,
2010,4,1,11,0,316.0,0.031,29.635,93.642,,,
2010,4,1,11,30,240.0,0.0409999999999999,29.635,93.642,,,
2010,4,1,12,0,217.0,0.022,29.635,93.642,,,
2010,4,1,12,30,151.0,0.04,29.635,93.642,,,
2010,4,1,13,0,152.0,0.05,29.635,93.642,,,
2010,4,1,13,30,163.0,0.06,29.635,93.642,,,
2010,4,1,14,0,152.0,0.096,29.635,93.642,,,
2010,4,1,14,30,162.0,0.086,29.635,93.642,,,
2010,4,1,15,0,173.0,0.088,29.635,93.642,,,
2010,4,1,15,30,181.0,0.095,29.635,93.642,,,
2010,4,1,20,0,256.0,0.139,29.635,93.642,,,
2010,4,1,20,30,280.0,0.125,29.635,93.642,,,
2010,4,1,21,0,268.0,0.173,29.635,93.642,,,
2010,4,1,21,30,269.0,0.184,29.635,93.642,,,
2010,4,1,22,0,280.0,0.1939999999999999,29.635,93.642,,,
2010,4,1,22,30,272.0,0.1939999999999999,29.635,93.642,,,
2010,4,1,23,0,271.0,0.22,29.635,93.642,,,
2010,4,1,23,30,266.0,0.204,29.635,93.642,,,
2010,4,2,0,0,262.0,0.189,29.635,93.642,,,
2010,4,2,0,30,262.0,0.172,29.635,93.642,,,
2010,4,2,1,0,266.0,0.153,29.635,93.642,,,
2010,4,2,1,30,270.0,0.145,29.635,93.642,,,
2010,4,2,2,0,276.0,0.154,29.635,93.642,,,
2010,4,2,2,30,289.0,0.1639999999999999,29.635,93.642,,,
2010,4,2,3,0,291.0,0.15,29.635,93.642,,,
2010,4,2,3,30,293.0,0.14,29.635,93.642,,,
2010,4,2,4,0,297.0,0.16,29.635,93.642,,,
2010,4,2,4,30,287.0,0.15,29.635,93.642,,,
2010,4,2,5,30,261.0,0.14,29.635,93.642,,,
2010,4,2,8,0,279.0,0.134,29.635,93.642,,,
2010,4,2,8,30,293.0,0.138,29.635,93.642,,,
2010,4,2,9,0,292.0,0.147,29.635,93.642,,,
2010,4,2,9,30,282.0,0.175,29.635,93.642,,,
2010,4,2,10,0,273.0,0.152,29.635,93.642,,,
2010,4,2,10,30,246.0,0.168,29.635,93.642,,,
2010,4,2,11,0,262.0,0.168,29.635,93.642,,,
2010,4,2,11,30,263.0,0.121,29.635,93.642,,,
2010,4,2,12,0,257.0,0.09,29.635,93.642,,,
2010,4,2,12,30,240.0,0.084,29.635,93.642,,,
2010,4,2,13,0,233.0,0.113,29.635,93.642,,,
2010,4,2,13,30,237.0,0.132,29.635,93.642,,,
2010,4,2,14,0,251.0,0.1159999999999999,29.635,93.642,,,
2010,4,2,14,30,239.0,0.069,29.635,93.642,,,
2010,4,2,15,0,249.0,0.064,29.635,93.642,,,
2010,4,2,15,30,244.0,0.062,29.635,93.642,,,
2010,4,2,16,0,229.0,0.063,29.635,93.642,,,
2010,4,2,16,30,255.0,0.075,29.635,93.642,,,
