year,month,day,hour,min,wind dir,wind speed,lat,lon,current dir,current speed
2009,12,31,23,50,40.0,4.3,29.237,94.404,,
2010,1,1,0,50,7.0,7.6,29.237,94.404,,
2010,1,1,1,50,15.0,5.4,29.237,94.404,,
2010,1,1,2,50,353.0,6.1,29.237,94.404,,
2010,1,1,3,50,342.0,8.5,29.237,94.404,,
2010,1,1,4,50,344.0,10.4,29.237,94.404,,
2010,1,1,5,50,357.0,10.6,29.237,94.404,,
2010,1,1,6,50,337.0,12.0,29.237,94.404,,
2010,1,1,7,50,337.0,12.2,29.237,94.404,,
2010,1,1,8,50,323.0,10.7,29.237,94.404,,
2010,1,1,9,50,337.0,11.7,29.237,94.404,,
2010,1,1,10,50,343.0,11.5,29.237,94.404,,
2010,1,1,11,50,6.0,12.2,29.237,94.404,,
2010,1,1,12,50,19.0,10.2,29.237,94.404,,
2010,1,1,13,50,6.0,9.6,29.237,94.404,,
2010,1,1,14,50,9.0,10.1,29.237,94.404,,
2010,1,1,15,50,17.0,9.6,29.237,94.404,,
2010,1,1,16,50,357.0,8.6,29.237,94.404,,
2010,1,1,17,50,10.0,7.0,29.237,94.404,,
2010,1,1,18,50,7.0,7.4,29.237,94.404,,
2010,1,1,19,50,10.0,5.8,29.237,94.404,,
2010,1,1,20,50,25.0,5.2,29.237,94.404,,
2010,1,1,21,50,38.0,4.7,29.237,94.404,,
2010,1,1,22,50,55.0,5.2,29.237,94.404,,
2010,1,1,23,50,51.0,4.0,29.237,94.404,,
2010,1,2,0,50,47.0,4.8,29.237,94.404,,
2010,1,2,1,50,37.0,4.3,29.237,94.404,,
2010,1,2,2,50,43.0,4.9,29.237,94.404,,
2010,1,2,3,50,43.0,6.2,29.237,94.404,,
2010,1,2,4,50,45.0,5.6,29.237,94.404,,
2010,1,2,5,50,48.0,5.7,29.237,94.404,,
2010,1,2,6,50,45.0,5.8,29.237,94.404,,
2010,1,2,7,50,56.0,6.9,29.237,94.404,,
2010,1,2,8,50,57.0,6.6,29.237,94.404,,
2010,1,2,9,50,53.0,6.8,29.237,94.404,,
2010,1,2,10,50,57.0,7.8,29.237,94.404,,
2010,1,2,11,50,69.0,6.8,29.237,94.404,,
2010,1,2,12,50,87.0,5.9,29.237,94.404,,
2010,1,2,13,50,80.0,6.7,29.237,94.404,,
2010,1,2,14,50,71.0,6.8,29.237,94.404,,
2010,1,2,15,50,72.0,7.8,29.237,94.404,,
2010,1,2,16,50,74.0,7.7,29.237,94.404,,
2010,1,2,17,50,71.0,7.4,29.237,94.404,,
2010,1,2,18,50,78.0,6.3,29.237,94.404,,
2010,1,2,19,50,73.0,6.4,29.237,94.404,,
2010,1,2,20,50,72.0,6.1,29.237,94.404,,
2010,1,2,21,50,81.0,5.4,29.237,94.404,,
2010,1,2,22,50,93.0,5.5,29.237,94.404,,
2010,1,2,23,50,93.0,5.4,29.237,94.404,,
2010,1,3,0,50,104.0,5.7,29.237,94.404,,
2010,1,3,1,50,96.0,6.0,29.237,94.404,,
2010,1,3,2,50,98.0,6.2,29.237,94.404,,
2010,1,3,3,50,92.0,6.7,29.237,94.404,,
2010,1,3,4,50,101.0,6.9,29.237,94.404,,
2010,1,3,5,50,94.0,7.7,29.237,94.404,,
2010,1,3,6,50,81.0,7.2,29.237,94.404,,
2010,1,3,7,50,89.0,7.4,29.237,94.404,,
2010,1,3,8,50,87.0,8.1,29.237,94.404,,
2010,1,3,9,50,85.0,8.1,29.237,94.404,,
2010,1,3,10,50,81.0,8.3,29.237,94.404,,
2010,1,3,11,50,78.0,8.5,29.237,94.404,,
2010,1,3,12,50,78.0,8.9,29.237,94.404,,
2010,1,3,13,50,69.0,9.3,29.237,94.404,,
2010,1,3,14,50,76.0,9.1,29.237,94.404,,
2010,1,3,15,50,77.0,9.1,29.237,94.404,,
2010,1,3,16,50,75.0,9.0,29.237,94.404,,
2010,1,3,17,50,76.0,8.5,29.237,94.404,,
2010,1,3,18,50,72.0,8.1,29.237,94.404,,
2010,1,3,19,50,68.0,7.9,29.237,94.404,,
2010,1,3,20,50,66.0,7.8,29.237,94.404,,
2010,1,3,21,50,66.0,7.8,29.237,94.404,,
2010,1,3,22,50,68.0,7.9,29.237,94.404,,
2010,1,3,23,50,63.0,7.3,29.237,94.404,,
2010,1,4,0,50,63.0,6.9,29.237,94.404,,
2010,1,4,1,50,50.0,6.2,29.237,94.404,,
2010,1,4,2,50,50.0,5.9,29.237,94.404,,
2010,1,4,3,50,46.0,5.8,29.237,94.404,,
2010,1,4,4,50,35.0,4.8,29.237,94.404,,
2010,1,4,5,50,21.0,4.1,29.237,94.404,,
2010,1,4,6,50,3.0,4.9,29.237,94.404,,
2010,1,4,7,50,10.0,4.7,29.237,94.404,,
2010,1,4,8,50,355.0,4.4,29.237,94.404,,
2010,1,4,9,50,347.0,3.7,29.237,94.404,,
2010,1,4,10,50,346.0,3.1,29.237,94.404,,
2010,1,4,11,50,338.0,6.1,29.237,94.404,,
2010,1,4,12,50,6.0,8.4,29.237,94.404,,
2010,1,4,13,50,6.0,10.1,29.237,94.404,,
2010,1,4,14,50,2.0,9.5,29.237,94.404,,
2010,1,4,15,50,357.0,8.8,29.237,94.404,,
2010,1,4,16,50,354.0,8.0,29.237,94.404,,
2010,1,4,17,50,343.0,7.8,29.237,94.404,,
2010,1,4,18,50,329.0,8.1,29.237,94.404,,
2010,1,4,19,50,342.0,8.8,29.237,94.404,,
2010,1,4,23,50,16.0,7.3,29.237,94.404,,
2010,1,5,0,50,31.0,6.9,29.237,94.404,,
2010,1,5,1,50,29.0,6.1,29.237,94.404,,
2010,1,5,2,50,21.0,6.3,29.237,94.404,,
2010,1,5,3,50,6.0,7.2,29.237,94.404,,
2010,1,5,4,50,15.0,6.0,29.237,94.404,,
2010,1,5,5,50,18.0,6.1,29.237,94.404,,
2010,1,5,6,50,25.0,5.3,29.237,94.404,,
2010,1,5,7,50,33.0,5.9,29.237,94.404,,
2010,1,5,8,50,14.0,6.7,29.237,94.404,,
2010,1,5,9,50,8.0,7.6,29.237,94.404,,
2010,1,5,10,50,14.0,8.0,29.237,94.404,,
2010,1,5,11,50,25.0,6.6,29.237,94.404,,
2010,1,5,12,50,18.0,6.1,29.237,94.404,,
2010,1,5,13,50,33.0,5.3,29.237,94.404,,
2010,1,5,14,50,33.0,4.8,29.237,94.404,,
2010,1,5,15,50,25.0,3.9,29.237,94.404,,
2010,1,5,16,50,34.0,3.8,29.237,94.404,,
2010,1,5,17,50,20.0,3.9,29.237,94.404,,
2010,1,5,18,50,16.0,3.7,29.237,94.404,,
2010,1,5,19,50,26.0,2.7,29.237,94.404,,
2010,1,5,20,50,34.0,1.6,29.237,94.404,,
2010,1,5,21,50,14.0,0.8,29.237,94.404,,
2010,1,5,22,50,47.0,0.3,29.237,94.404,,
2010,1,5,23,50,206.0,1.1,29.237,94.404,,
2010,1,6,0,50,195.0,0.9,29.237,94.404,,
2010,1,6,1,50,198.0,0.6,29.237,94.404,,
2010,1,6,2,50,51.0,1.2,29.237,94.404,,
2010,1,6,3,50,63.0,1.7,29.237,94.404,,
2010,1,6,4,50,106.0,2.0,29.237,94.404,,
2010,1,6,5,50,113.0,2.7,29.237,94.404,,
2010,1,6,6,50,149.0,2.4,29.237,94.404,,
2010,1,6,7,50,144.0,3.1,29.237,94.404,,
