year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,28,22,20,24.0,3.3,,28.311,83.306,,
2010,1,28,22,40,32.0,2.4,,28.311,83.306,,
2010,1,28,23,0,9.0,2.4,,28.311,83.306,,
2010,1,28,23,20,3.0,2.7,,28.311,83.306,,
2010,1,28,23,40,6.0,3.1,,28.311,83.306,,
2010,1,29,0,0,7.0,2.8,,28.311,83.306,,
2010,1,29,0,20,3.0,2.7,,28.311,83.306,,
2010,1,29,0,40,3.0,3.0,,28.311,83.306,,
2010,1,29,1,0,18.0,2.6,,28.311,83.306,,
2010,1,29,1,20,26.0,3.7,,28.311,83.306,,
2010,1,29,1,40,25.0,4.4,,28.311,83.306,,
2010,1,29,2,0,35.0,3.3,,28.311,83.306,,
2010,1,29,2,20,18.0,4.2,,28.311,83.306,,
2010,1,29,2,40,18.0,4.5,,28.311,83.306,,
2010,1,29,3,0,23.0,5.0,,28.311,83.306,,
2010,1,29,3,20,29.0,4.5,,28.311,83.306,,
2010,1,29,3,40,27.0,4.4,,28.311,83.306,,
2010,1,29,4,0,35.0,4.1,,28.311,83.306,,
2010,1,29,4,20,48.0,3.8,,28.311,83.306,,
2010,1,29,4,40,42.0,3.5,,28.311,83.306,,
2010,1,29,5,0,52.0,2.8,,28.311,83.306,,
2010,1,29,5,20,51.0,3.9,,28.311,83.306,,
2010,1,29,5,40,44.0,4.0,,28.311,83.306,,
2010,1,29,6,0,32.0,3.8,,28.311,83.306,,
2010,1,29,6,20,41.0,4.2,,28.311,83.306,,
2010,1,29,6,40,60.0,3.5,,28.311,83.306,,
2010,1,29,7,0,58.0,3.9,,28.311,83.306,,
2010,1,29,7,20,70.0,3.4,,28.311,83.306,,
2010,1,29,7,40,92.0,4.3,,28.311,83.306,,
2010,1,29,8,0,93.0,3.7,,28.311,83.306,,
2010,1,29,8,20,89.0,3.4,,28.311,83.306,,
2010,1,29,8,40,86.0,4.0,,28.311,83.306,,
2010,1,29,9,0,80.0,3.9,,28.311,83.306,,
2010,1,29,9,20,64.0,3.9,,28.311,83.306,,
2010,1,29,9,40,49.0,4.2,,28.311,83.306,,
2010,1,29,10,0,44.0,5.0,,28.311,83.306,,
2010,1,29,10,20,50.0,5.0,,28.311,83.306,,
2010,1,29,10,40,53.0,5.5,,28.311,83.306,,
2010,1,29,11,0,64.0,5.3,,28.311,83.306,,
2010,1,29,11,20,72.0,5.1,,28.311,83.306,,
2010,1,29,11,40,85.0,5.3,,28.311,83.306,,
2010,1,29,12,0,85.0,5.7,,28.311,83.306,,
2010,1,29,12,20,106.0,5.5,,28.311,83.306,,
2010,1,29,12,40,108.0,5.5,,28.311,83.306,,
2010,1,29,13,0,122.0,5.5,,28.311,83.306,,
2010,1,29,13,20,116.0,5.2,,28.311,83.306,,
2010,1,29,13,40,99.0,4.3,,28.311,83.306,,
2010,1,29,14,0,100.0,5.4,,28.311,83.306,,
2010,1,29,14,20,104.0,5.0,,28.311,83.306,,
2010,1,29,14,40,86.0,4.8,,28.311,83.306,,
2010,1,29,15,0,92.0,5.0,,28.311,83.306,,
2010,1,29,15,20,110.0,5.0,,28.311,83.306,,
2010,1,29,15,40,95.0,4.2,,28.311,83.306,,
2010,1,29,16,0,96.0,4.4,,28.311,83.306,,
2010,1,29,16,20,102.0,3.8,,28.311,83.306,,
2010,1,29,16,40,97.0,4.1,,28.311,83.306,,
