year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2009,12,31,23,50,,4.6,24.3,26.055,-93.646,,
2010,1,1,0,50,,3.4,24.2,26.055,-93.646,,
2010,1,1,1,50,,2.7,24.0,26.055,-93.646,,
2010,1,1,2,50,,2.2,24.4,26.055,-93.646,,
2010,1,1,3,50,,1.9,24.4,26.055,-93.646,,
2010,1,1,4,50,,2.4,24.4,26.055,-93.646,,
2010,1,1,5,50,,2.7,24.4,26.055,-93.646,,
2010,1,1,6,50,,4.5,24.4,26.055,-93.646,,
2010,1,1,7,50,,16.3,24.4,26.055,-93.646,,
2010,1,1,8,50,,16.0,24.4,26.055,-93.646,,
2010,1,1,9,50,,15.6,24.4,26.055,-93.646,,
2010,1,1,10,50,,16.4,24.3,26.055,-93.646,,
2010,1,1,11,50,,16.4,24.4,26.055,-93.646,,
2010,1,1,12,50,,17.4,24.4,26.055,-93.646,,
2010,1,1,13,50,,14.6,24.4,26.055,-93.646,,
2010,1,1,14,50,,11.4,24.0,26.055,-93.646,,
2010,1,1,15,50,,12.5,24.4,26.055,-93.646,,
2010,1,1,16,50,,13.3,24.5,26.055,-93.646,,
2010,1,1,17,50,,12.3,24.5,26.055,-93.646,,
2010,1,1,18,50,,11.8,24.4,26.055,-93.646,,
2010,1,1,19,50,,10.2,24.3,26.055,-93.646,,
2010,1,1,20,50,,9.7,25.1,26.055,-93.646,,
2010,1,1,21,50,,11.5,25.2,26.055,-93.646,,
2010,1,1,22,50,,8.7,24.9,26.055,-93.646,,
2010,1,1,23,50,,10.0,25.0,26.055,-93.646,,
2010,1,2,0,50,,9.3,24.9,26.055,-93.646,,
2010,1,2,1,50,,8.8,24.7,26.055,-93.646,,
2010,1,2,2,50,,8.0,24.8,26.055,-93.646,,
2010,1,2,3,50,,7.9,24.7,26.055,-93.646,,
2010,1,2,4,50,,8.2,24.4,26.055,-93.646,,
2010,1,2,5,50,,9.0,24.4,26.055,-93.646,,
2010,1,2,6,50,,5.8,24.3,26.055,-93.646,,
2010,1,2,7,50,,6.1,24.4,26.055,-93.646,,
2010,1,2,8,50,,6.4,24.4,26.055,-93.646,,
2010,1,2,9,50,,5.1,24.4,26.055,-93.646,,
2010,1,2,10,50,,4.7,24.4,26.055,-93.646,,
2010,1,2,11,50,,5.0,24.5,26.055,-93.646,,
2010,1,2,12,50,,4.3,24.5,26.055,-93.646,,
2010,1,2,13,50,,5.6,24.5,26.055,-93.646,,
2010,1,2,14,50,,5.4,24.6,26.055,-93.646,,
2010,1,2,15,50,,4.8,24.7,26.055,-93.646,,
2010,1,2,16,50,,4.5,24.6,26.055,-93.646,,
2010,1,2,17,50,,4.0,24.8,26.055,-93.646,,
2010,1,2,18,50,,4.6,24.3,26.055,-93.646,,
2010,1,2,19,50,,5.6,24.8,26.055,-93.646,,
2010,1,2,20,50,,5.6,25.0,26.055,-93.646,,
