year,month,day,hour,min,wind dir,wind speed,lat,lon
2010,6,2,22,50,137.0,5.9,22.14,94.112
2010,6,2,23,50,129.0,6.5,22.14,94.112
2010,6,3,0,50,127.0,8.0,22.14,94.112
2010,6,3,1,50,133.0,7.6,22.14,94.112
2010,6,3,2,50,137.0,6.4,22.14,94.112
2010,6,3,3,50,138.0,6.3,22.14,94.112
2010,6,3,4,50,135.0,4.8,22.14,94.112
2010,6,3,5,50,137.0,4.4,22.14,94.112
2010,6,3,6,50,96.0,3.1,22.14,94.112
2010,6,3,7,50,108.0,6.2,22.14,94.112
2010,6,3,8,50,110.0,7.5,22.14,94.112
2010,6,3,9,50,101.0,7.8,22.14,94.112
2010,6,3,10,50,104.0,7.8,22.14,94.112
2010,6,3,11,50,101.0,6.5,22.14,94.112
2010,6,3,12,50,,4.9,22.14,94.112
2010,6,3,13,50,112.0,5.0,22.14,94.112
2010,6,3,14,50,,3.5,22.14,94.112
2010,6,3,15,50,70.0,2.0,22.14,94.112
2010,6,3,16,50,125.0,4.3,22.14,94.112
2010,6,3,17,50,144.0,5.4,22.14,94.112
2010,6,3,18,50,163.0,6.9,22.14,94.112
2010,6,3,19,50,165.0,5.9,22.14,94.112
2010,6,3,20,50,161.0,3.8,22.14,94.112
2010,6,3,21,50,142.0,3.5,22.14,94.112
2010,6,3,22,50,125.0,3.9,22.14,94.112
2010,6,3,23,50,122.0,4.6,22.14,94.112
2010,6,4,0,50,119.0,5.5,22.14,94.112
2010,6,4,1,50,117.0,6.8,22.14,94.112
2010,6,4,2,50,115.0,6.2,22.14,94.112
2010,6,4,3,50,105.0,7.6,22.14,94.112
2010,6,4,4,50,109.0,7.9,22.14,94.112
2010,6,4,5,50,109.0,8.6,22.14,94.112
2010,6,4,6,50,109.0,7.4,22.14,94.112
2010,6,4,7,50,114.0,9.1,22.14,94.112
2010,6,4,8,50,127.0,8.5,22.14,94.112
2010,6,4,9,50,124.0,7.5,22.14,94.112
2010,6,4,10,50,122.0,4.6,22.14,94.112
2010,6,4,11,50,117.0,4.0,22.14,94.112
2010,6,4,12,50,100.0,4.7,22.14,94.112
2010,6,4,13,50,126.0,6.3,22.14,94.112
2010,6,4,14,50,81.0,4.5,22.14,94.112
2010,6,4,15,50,100.0,2.6,22.14,94.112
2010,6,4,16,50,53.0,2.5,22.14,94.112
2010,6,4,17,50,133.0,4.0,22.14,94.112
2010,6,4,18,50,127.0,2.3,22.14,94.112
2010,6,4,19,50,119.0,3.3,22.14,94.112
2010,6,4,20,50,121.0,3.8,22.14,94.112
2010,6,4,21,50,118.0,3.4,22.14,94.112
2010,6,4,22,50,112.0,3.6,22.14,94.112
2010,6,4,23,50,122.0,3.9,22.14,94.112
2010,6,5,0,50,109.0,3.7,22.14,94.112
2010,6,5,1,50,117.0,4.5,22.14,94.112
2010,6,5,2,50,116.0,4.2,22.14,94.112
2010,6,5,3,50,115.0,4.8,22.14,94.112
2010,6,5,4,50,119.0,4.6,22.14,94.112
2010,6,5,5,50,118.0,4.6,22.14,94.112
2010,6,5,6,50,131.0,3.5,22.14,94.112
2010,6,5,7,50,134.0,3.2,22.14,94.112
2010,6,5,8,50,147.0,2.3,22.14,94.112
2010,6,5,9,50,126.0,4.7,22.14,94.112
2010,6,5,10,50,131.0,7.1,22.14,94.112
2010,6,5,11,50,150.0,5.3,22.14,94.112
2010,6,5,12,50,138.0,5.6,22.14,94.112
2010,6,5,13,50,146.0,3.6,22.14,94.112
2010,6,5,14,50,157.0,4.5,22.14,94.112
2010,6,5,15,50,182.0,4.8,22.14,94.112
2010,6,5,16,50,170.0,5.3,22.14,94.112
2010,6,5,17,50,157.0,7.4,22.14,94.112
2010,6,5,18,50,163.0,5.9,22.14,94.112
2010,6,5,19,50,164.0,6.2,22.14,94.112
2010,6,5,20,50,150.0,7.2,22.14,94.112
2010,6,5,21,50,139.0,8.0,22.14,94.112
2010,6,5,22,50,151.0,7.0,22.14,94.112
2010,6,5,23,50,133.0,8.1,22.14,94.112
2010,6,6,0,50,123.0,8.7,22.14,94.112
2010,6,6,1,50,121.0,8.6,22.14,94.112
2010,6,6,2,50,116.0,8.2,22.14,94.112
2010,6,6,3,50,122.0,7.2,22.14,94.112
2010,6,6,4,50,130.0,7.2,22.14,94.112
2010,6,6,5,50,140.0,7.6,22.14,94.112
2010,6,6,6,50,145.0,7.1,22.14,94.112
2010,6,6,7,50,147.0,5.8,22.14,94.112
2010,6,6,8,50,140.0,6.3,22.14,94.112
2010,6,6,9,50,142.0,5.5,22.14,94.112
2010,6,6,10,50,144.0,4.8,22.14,94.112
2010,6,6,11,50,123.0,6.5,22.14,94.112
2010,6,6,12,50,124.0,6.8,22.14,94.112
2010,6,6,13,50,125.0,5.7,22.14,94.112
2010,6,6,14,50,134.0,7.7,22.14,94.112
2010,6,6,15,50,133.0,7.3,22.14,94.112
2010,6,6,16,50,135.0,7.5,22.14,94.112
2010,6,6,17,50,141.0,7.3,22.14,94.112
2010,6,6,18,50,144.0,6.9,22.14,94.112
2010,6,6,19,50,145.0,7.2,22.14,94.112
2010,6,6,20,50,147.0,7.8,22.14,94.112
2010,6,6,21,50,146.0,7.5,22.14,94.112
2010,6,6,22,50,135.0,6.6,22.14,94.112
2010,6,6,23,50,122.0,6.9,22.14,94.112
2010,6,7,0,50,112.0,6.5,22.14,94.112
2010,6,7,1,50,107.0,7.3,22.14,94.112
2010,6,7,2,50,116.0,7.7,22.14,94.112
2010,6,7,3,50,111.0,8.0,22.14,94.112
2010,6,7,4,50,106.0,6.8,22.14,94.112
2010,6,7,5,50,94.0,6.0,22.14,94.112
2010,6,7,6,50,100.0,7.4,22.14,94.112
2010,6,7,7,50,105.0,8.8,22.14,94.112
2010,6,7,8,50,106.0,9.3,22.14,94.112
2010,6,7,9,50,107.0,8.3,22.14,94.112
2010,6,7,10,50,105.0,7.2,22.14,94.112
2010,6,7,11,50,111.0,7.9,22.14,94.112
2010,6,7,12,50,121.0,8.2,22.14,94.112
2010,6,7,13,50,127.0,7.2,22.14,94.112
2010,6,7,14,50,143.0,6.4,22.14,94.112
2010,6,7,15,50,146.0,5.6,22.14,94.112
2010,6,7,16,50,159.0,6.1,22.14,94.112
2010,6,7,17,50,154.0,5.1,22.14,94.112
2010,6,7,18,50,141.0,4.2,22.14,94.112
2010,6,7,19,50,138.0,5.1,22.14,94.112
2010,6,7,20,50,122.0,5.1,22.14,94.112
2010,6,7,21,50,117.0,5.7,22.14,94.112
2010,6,7,22,50,121.0,6.0,22.14,94.112
2010,6,7,23,50,116.0,7.5,22.14,94.112
2010,6,8,0,50,114.0,7.4,22.14,94.112
2010,6,8,1,50,122.0,8.3,22.14,94.112
2010,6,8,2,50,119.0,8.6,22.14,94.112
2010,6,8,3,50,118.0,7.5,22.14,94.112
2010,6,8,4,50,113.0,6.9,22.14,94.112
2010,6,8,5,50,104.0,7.5,22.14,94.112
2010,6,8,6,50,101.0,8.5,22.14,94.112
2010,6,8,7,50,96.0,7.4,22.14,94.112
2010,6,8,8,50,109.0,8.3,22.14,94.112
2010,6,8,9,50,104.0,5.1,22.14,94.112
2010,6,8,10,50,90.0,4.1,22.14,94.112
2010,6,8,11,50,92.0,5.8,22.14,94.112
2010,6,8,12,50,104.0,7.1,22.14,94.112
2010,6,8,13,50,102.0,6.0,22.14,94.112
2010,6,8,14,50,121.0,6.1,22.14,94.112
2010,6,8,15,50,130.0,7.1,22.14,94.112
2010,6,8,16,50,141.0,7.0,22.14,94.112
2010,6,8,17,50,151.0,7.1,22.14,94.112
2010,6,8,18,50,151.0,8.5,22.14,94.112
2010,6,8,19,50,146.0,7.9,22.14,94.112
2010,6,8,20,50,148.0,7.9,22.14,94.112
2010,6,8,21,50,152.0,7.7,22.14,94.112
2010,6,8,22,50,134.0,6.3,22.14,94.112
2010,6,8,23,50,125.0,6.5,22.14,94.112
2010,6,9,0,50,106.0,7.0,22.14,94.112
2010,6,9,1,50,115.0,9.0,22.14,94.112
2010,6,9,2,50,120.0,9.4,22.14,94.112
2010,6,9,3,50,114.0,7.1,22.14,94.112
2010,6,9,4,50,107.0,7.7,22.14,94.112
2010,6,9,5,50,103.0,7.7,22.14,94.112
2010,6,9,6,50,115.0,8.4,22.14,94.112
2010,6,9,7,50,113.0,10.7,22.14,94.112
2010,6,9,8,50,113.0,10.4,22.14,94.112
2010,6,9,9,50,111.0,9.0,22.14,94.112
2010,6,9,10,50,112.0,9.5,22.14,94.112
2010,6,9,11,50,114.0,8.9,22.14,94.112
2010,6,9,12,50,124.0,8.1,22.14,94.112
2010,6,9,13,50,135.0,6.8,22.14,94.112
2010,6,9,14,50,131.0,7.0,22.14,94.112
2010,6,9,15,50,150.0,7.0,22.14,94.112
2010,6,9,16,50,153.0,7.8,22.14,94.112
2010,6,9,17,50,156.0,7.5,22.14,94.112
2010,6,9,18,50,156.0,8.9,22.14,94.112
2010,6,9,19,50,153.0,7.9,22.14,94.112
2010,6,9,20,50,152.0,7.2,22.14,94.112
2010,6,9,21,50,149.0,6.8,22.14,94.112
2010,6,9,22,50,130.0,6.9,22.14,94.112
2010,6,9,23,50,118.0,6.8,22.14,94.112
2010,6,10,0,50,110.0,7.4,22.14,94.112
2010,6,10,1,50,107.0,7.5,22.14,94.112
2010,6,10,2,50,,7.6,22.14,94.112
2010,6,10,3,50,100.0,8.5,22.14,94.112
2010,6,10,4,50,94.0,9.0,22.14,94.112
2010,6,10,5,50,97.0,10.3,22.14,94.112
2010,6,10,6,50,102.0,11.1,22.14,94.112
2010,6,10,7,50,111.0,10.7,22.14,94.112
2010,6,10,8,50,114.0,9.7,22.14,94.112
2010,6,10,9,50,104.0,8.5,22.14,94.112
2010,6,10,10,50,103.0,8.5,22.14,94.112
2010,6,10,11,50,110.0,8.7,22.14,94.112
2010,6,10,12,50,118.0,8.8,22.14,94.112
2010,6,10,13,50,128.0,8.5,22.14,94.112
2010,6,10,14,50,136.0,8.2,22.14,94.112
2010,6,10,15,50,140.0,7.5,22.14,94.112
2010,6,10,16,50,145.0,8.5,22.14,94.112
2010,6,10,17,50,154.0,8.0,22.14,94.112
2010,6,10,18,50,158.0,6.7,22.14,94.112
2010,6,10,19,50,160.0,6.7,22.14,94.112
2010,6,10,20,50,152.0,6.0,22.14,94.112
2010,6,10,21,50,134.0,6.6,22.14,94.112
2010,6,10,22,50,131.0,6.9,22.14,94.112
2010,6,10,23,50,129.0,7.1,22.14,94.112
2010,6,11,0,50,121.0,7.3,22.14,94.112
2010,6,11,1,50,116.0,8.0,22.14,94.112
2010,6,11,2,50,119.0,7.9,22.14,94.112
2010,6,11,3,50,103.0,8.8,22.14,94.112
2010,6,11,4,50,108.0,9.6,22.14,94.112
2010,6,11,5,50,118.0,9.4,22.14,94.112
2010,6,11,6,50,119.0,9.0,22.14,94.112
2010,6,11,7,50,113.0,8.5,22.14,94.112
2010,6,11,8,50,117.0,10.4,22.14,94.112
2010,6,11,9,50,121.0,9.5,22.14,94.112
2010,6,11,10,50,121.0,9.1,22.14,94.112
2010,6,11,11,50,134.0,8.1,22.14,94.112
2010,6,11,12,50,142.0,8.5,22.14,94.112
2010,6,11,13,50,141.0,8.7,22.14,94.112
2010,6,11,14,50,143.0,9.3,22.14,94.112
2010,6,11,15,50,142.0,9.3,22.14,94.112
2010,6,11,16,50,143.0,9.1,22.14,94.112
2010,6,11,17,50,138.0,9.1,22.14,94.112
2010,6,11,18,50,139.0,8.5,22.14,94.112
2010,6,11,19,50,133.0,7.9,22.14,94.112
2010,6,11,20,50,132.0,8.5,22.14,94.112
2010,6,11,21,50,132.0,8.4,22.14,94.112
2010,6,11,22,50,130.0,9.2,22.14,94.112
2010,6,11,23,50,126.0,8.8,22.14,94.112
2010,6,12,0,50,122.0,8.6,22.14,94.112
2010,6,12,1,50,110.0,7.3,22.14,94.112
2010,6,12,2,50,104.0,8.9,22.14,94.112
2010,6,12,3,50,108.0,9.7,22.14,94.112
2010,6,12,4,50,105.0,9.8,22.14,94.112
2010,6,12,5,50,98.0,9.8,22.14,94.112
2010,6,12,6,50,,8.7,22.14,94.112
2010,6,12,7,50,98.0,9.0,22.14,94.112
2010,6,12,8,50,111.0,9.0,22.14,94.112
2010,6,12,9,50,125.0,9.6,22.14,94.112
2010,6,12,10,50,137.0,9.0,22.14,94.112
2010,6,12,11,50,146.0,10.4,22.14,94.112
2010,6,12,12,50,145.0,11.0,22.14,94.112
2010,6,12,13,50,141.0,10.6,22.14,94.112
2010,6,12,14,50,147.0,9.1,22.14,94.112
2010,6,12,15,50,145.0,9.3,22.14,94.112
2010,6,12,16,50,141.0,9.7,22.14,94.112
2010,6,12,17,50,137.0,8.0,22.14,94.112
2010,6,12,18,50,131.0,9.1,22.14,94.112
2010,6,12,19,50,133.0,8.9,22.14,94.112
2010,6,12,20,50,133.0,8.5,22.14,94.112
2010,6,12,21,50,131.0,7.8,22.14,94.112
2010,6,12,22,50,117.0,7.6,22.14,94.112
2010,6,12,23,50,107.0,7.1,22.14,94.112
2010,6,13,0,50,94.0,7.2,22.14,94.112
2010,6,13,1,50,89.0,10.0,22.14,94.112
2010,6,13,2,50,101.0,11.2,22.14,94.112
2010,6,13,3,50,95.0,10.9,22.14,94.112
2010,6,13,4,50,103.0,10.3,22.14,94.112
2010,6,13,5,50,103.0,9.9,22.14,94.112
2010,6,13,6,50,113.0,9.3,22.14,94.112
2010,6,13,7,50,122.0,10.2,22.14,94.112
2010,6,13,8,50,128.0,9.5,22.14,94.112
2010,6,13,9,50,125.0,9.0,22.14,94.112
2010,6,13,10,50,124.0,8.0,22.14,94.112
2010,6,13,11,50,125.0,8.3,22.14,94.112
2010,6,13,12,50,128.0,7.2,22.14,94.112
2010,6,13,13,50,134.0,7.8,22.14,94.112
2010,6,13,14,50,140.0,7.1,22.14,94.112
2010,6,13,15,50,140.0,6.5,22.14,94.112
2010,6,13,16,50,127.0,6.6,22.14,94.112
2010,6,13,17,50,129.0,6.7,22.14,94.112
2010,6,13,18,50,118.0,7.8,22.14,94.112
2010,6,13,19,50,119.0,7.5,22.14,94.112
2010,6,13,20,50,109.0,8.1,22.14,94.112
2010,6,13,21,50,111.0,7.9,22.14,94.112
2010,6,13,22,50,,7.6,22.14,94.112
2010,6,13,23,50,100.0,7.8,22.14,94.112
2010,6,14,0,50,105.0,7.8,22.14,94.112
2010,6,14,1,50,,8.3,22.14,94.112
2010,6,14,2,50,98.0,8.7,22.14,94.112
2010,6,14,3,50,92.0,8.4,22.14,94.112
2010,6,14,4,50,93.0,9.5,22.14,94.112
2010,6,14,5,50,98.0,8.9,22.14,94.112
2010,6,14,6,50,,8.7,22.14,94.112
2010,6,14,7,50,102.0,7.6,22.14,94.112
2010,6,14,8,50,98.0,7.0,22.14,94.112
2010,6,14,9,50,78.0,8.6,22.14,94.112
2010,6,14,10,50,118.0,5.0,22.14,94.112
2010,6,14,11,50,218.0,3.3,22.14,94.112
2010,6,14,12,50,259.0,1.1,22.14,94.112
2010,6,14,13,50,177.0,9.7,22.14,94.112
2010,6,14,14,50,129.0,3.2,22.14,94.112
2010,6,14,15,50,95.0,2.8,22.14,94.112
2010,6,14,16,50,79.0,2.2,22.14,94.112
2010,6,14,17,50,57.0,5.0,22.14,94.112
2010,6,14,18,50,66.0,7.6,22.14,94.112
2010,6,14,19,50,77.0,6.7,22.14,94.112
2010,6,14,20,50,88.0,6.7,22.14,94.112
2010,6,14,21,50,85.0,6.0,22.14,94.112
2010,6,14,22,50,83.0,6.0,22.14,94.112
2010,6,14,23,50,72.0,5.2,22.14,94.112
2010,6,15,0,50,85.0,5.1,22.14,94.112
2010,6,15,1,50,77.0,5.4,22.14,94.112
2010,6,15,2,50,82.0,4.4,22.14,94.112
2010,6,15,3,50,86.0,5.8,22.14,94.112
2010,6,15,4,50,104.0,7.9,22.14,94.112
2010,6,15,5,50,117.0,7.9,22.14,94.112
2010,6,15,6,50,133.0,10.0,22.14,94.112
2010,6,15,7,50,156.0,7.8,22.14,94.112
2010,6,15,8,50,153.0,3.9,22.14,94.112
2010,6,15,9,50,64.0,3.0,22.14,94.112
2010,6,15,10,50,91.0,4.8,22.14,94.112
2010,6,15,11,50,111.0,3.3,22.14,94.112
2010,6,15,12,50,86.0,2.3,22.14,94.112
2010,6,15,13,50,65.0,5.2,22.14,94.112
2010,6,15,14,50,69.0,6.1,22.14,94.112
2010,6,15,15,50,63.0,5.9,22.14,94.112
2010,6,15,16,50,40.0,6.6,22.14,94.112
2010,6,15,17,50,48.0,5.4,22.14,94.112
2010,6,15,18,50,56.0,7.8,22.14,94.112
2010,6,15,19,50,102.0,8.8,22.14,94.112
2010,6,15,20,50,113.0,4.3,22.14,94.112
2010,6,15,21,50,98.0,6.6,22.14,94.112
2010,6,15,22,50,100.0,7.6,22.14,94.112
2010,6,15,23,50,100.0,8.0,22.14,94.112
2010,6,16,0,50,102.0,7.8,22.14,94.112
2010,6,16,1,50,85.0,5.7,22.14,94.112
2010,6,16,2,50,84.0,8.0,22.14,94.112
2010,6,16,3,50,87.0,8.7,22.14,94.112
2010,6,16,4,50,85.0,9.3,22.14,94.112
2010,6,16,5,50,87.0,9.9,22.14,94.112
2010,6,16,6,50,91.0,9.5,22.14,94.112
2010,6,16,7,50,84.0,9.7,22.14,94.112
2010,6,16,8,50,83.0,9.8,22.14,94.112
2010,6,16,9,50,83.0,10.0,22.14,94.112
2010,6,16,10,50,97.0,9.9,22.14,94.112
2010,6,16,11,50,109.0,8.3,22.14,94.112
2010,6,16,12,50,107.0,8.0,22.14,94.112
2010,6,16,13,50,119.0,8.1,22.14,94.112
2010,6,16,14,50,122.0,7.1,22.14,94.112
2010,6,16,15,50,117.0,7.9,22.14,94.112
2010,6,16,16,50,112.0,7.8,22.14,94.112
2010,6,16,17,50,117.0,8.7,22.14,94.112
2010,6,16,18,50,110.0,8.1,22.14,94.112
2010,6,16,19,50,110.0,8.4,22.14,94.112
2010,6,16,20,50,109.0,7.6,22.14,94.112
2010,6,16,21,50,113.0,6.5,22.14,94.112
2010,6,16,22,50,104.0,7.1,22.14,94.112
2010,6,16,23,50,94.0,7.2,22.14,94.112
2010,6,17,0,50,85.0,6.7,22.14,94.112
2010,6,17,1,50,83.0,8.1,22.14,94.112
2010,6,17,2,50,84.0,8.6,22.14,94.112
2010,6,17,3,50,85.0,8.8,22.14,94.112
2010,6,17,4,50,82.0,9.1,22.14,94.112
2010,6,17,5,50,90.0,10.3,22.14,94.112
2010,6,17,6,50,100.0,10.1,22.14,94.112
2010,6,17,7,50,93.0,9.9,22.14,94.112
2010,6,17,8,50,93.0,9.4,22.14,94.112
2010,6,17,9,50,94.0,10.2,22.14,94.112
2010,6,17,10,50,97.0,9.9,22.14,94.112
2010,6,17,11,50,104.0,9.0,22.14,94.112
2010,6,17,12,50,111.0,8.3,22.14,94.112
2010,6,17,13,50,118.0,8.0,22.14,94.112
2010,6,17,14,50,126.0,7.0,22.14,94.112
2010,6,17,15,50,133.0,7.6,22.14,94.112
2010,6,17,16,50,131.0,7.6,22.14,94.112
2010,6,17,17,50,133.0,6.9,22.14,94.112
2010,6,17,18,50,126.0,5.4,22.14,94.112
2010,6,17,19,50,118.0,5.9,22.14,94.112
2010,6,17,20,50,115.0,6.8,22.14,94.112
2010,6,17,21,50,108.0,6.7,22.14,94.112
2010,6,17,22,50,103.0,6.7,22.14,94.112
2010,6,17,23,50,97.0,6.8,22.14,94.112
2010,6,18,0,50,102.0,6.6,22.14,94.112
2010,6,18,1,50,108.0,6.3,22.14,94.112
2010,6,18,2,50,,6.9,22.14,94.112
2010,6,18,3,50,96.0,6.6,22.14,94.112
2010,6,18,4,50,90.0,8.3,22.14,94.112
2010,6,18,5,50,95.0,8.2,22.14,94.112
2010,6,18,6,50,,8.8,22.14,94.112
2010,6,18,7,50,96.0,7.9,22.14,94.112
2010,6,18,8,50,97.0,7.4,22.14,94.112
2010,6,18,9,50,98.0,7.8,22.14,94.112
2010,6,18,10,50,94.0,8.2,22.14,94.112
2010,6,18,11,50,91.0,8.5,22.14,94.112
2010,6,18,12,50,96.0,8.3,22.14,94.112
2010,6,18,13,50,97.0,7.7,22.14,94.112
2010,6,18,14,50,103.0,7.2,22.14,94.112
2010,6,18,15,50,115.0,7.3,22.14,94.112
2010,6,18,16,50,117.0,6.4,22.14,94.112
2010,6,18,17,50,130.0,6.5,22.14,94.112
2010,6,18,18,50,132.0,6.8,22.14,94.112
2010,6,18,19,50,139.0,6.2,22.14,94.112
2010,6,18,20,50,151.0,6.2,22.14,94.112
2010,6,18,21,50,146.0,5.6,22.14,94.112
2010,6,18,22,50,145.0,5.1,22.14,94.112
2010,6,18,23,50,127.0,4.4,22.14,94.112
2010,6,19,0,50,121.0,4.4,22.14,94.112
2010,6,19,1,50,108.0,5.2,22.14,94.112
2010,6,19,2,50,91.0,4.7,22.14,94.112
2010,6,19,3,50,81.0,5.1,22.14,94.112
2010,6,19,4,50,73.0,5.8,22.14,94.112
