year,month,day,hour,min,wind dir,wind speed,lat,lon,current dir,current speed
2010,1,5,1,50,306.0,11.4,28.787,86.007,,
2010,1,5,2,50,307.0,11.2,28.787,86.007,,
2010,1,5,3,50,315.0,11.8,28.787,86.007,,
2010,1,5,4,50,316.0,10.9,28.787,86.007,,
2010,1,5,5,50,324.0,11.8,28.787,86.007,,
2010,1,5,6,50,322.0,10.2,28.787,86.007,,
2010,1,5,7,50,336.0,10.1,28.787,86.007,,
2010,1,5,8,50,332.0,10.6,28.787,86.007,,
2010,1,5,9,50,339.0,9.7,28.787,86.007,,
2010,1,5,10,50,348.0,9.9,28.787,86.007,,
2010,1,5,11,50,336.0,9.7,28.787,86.007,,
2010,1,5,12,50,349.0,8.4,28.787,86.007,,
2010,1,5,13,50,337.0,9.3,28.787,86.007,,
2010,1,5,14,50,330.0,8.2,28.787,86.007,,
2010,1,5,15,50,341.0,8.2,28.787,86.007,,
2010,1,5,16,50,337.0,7.6,28.787,86.007,,
2010,1,5,17,50,347.0,7.5,28.787,86.007,,
2010,1,5,18,50,335.0,7.8,28.787,86.007,,
2010,1,5,19,50,328.0,7.1,28.787,86.007,,
2010,1,5,20,50,329.0,7.6,28.787,86.007,,
2010,1,5,21,50,315.0,7.4,28.787,86.007,,
2010,1,5,22,50,322.0,7.1,28.787,86.007,,
2010,1,5,23,50,325.0,7.5,28.787,86.007,,
2010,1,6,0,50,326.0,7.5,28.787,86.007,,
2010,1,6,1,50,323.0,7.5,28.787,86.007,,
2010,1,6,2,50,335.0,7.2,28.787,86.007,,
2010,1,6,3,50,334.0,8.3,28.787,86.007,,
2010,1,6,4,50,337.0,8.5,28.787,86.007,,
2010,1,6,5,50,340.0,7.8,28.787,86.007,,
2010,1,6,6,50,332.0,7.5,28.787,86.007,,
2010,1,6,7,50,346.0,7.8,28.787,86.007,,
2010,1,6,8,50,340.0,6.5,28.787,86.007,,
2010,1,6,9,50,338.0,8.4,28.787,86.007,,
2010,1,6,10,50,344.0,7.6,28.787,86.007,,
2010,1,6,11,50,349.0,6.8,28.787,86.007,,
2010,1,6,12,50,350.0,6.5,28.787,86.007,,
2010,1,6,13,50,343.0,5.9,28.787,86.007,,
2010,1,6,14,50,349.0,5.8,28.787,86.007,,
2010,1,6,15,50,355.0,5.3,28.787,86.007,,
2010,1,6,16,50,339.0,6.2,28.787,86.007,,
2010,1,6,17,50,347.0,5.8,28.787,86.007,,
2010,1,6,18,50,345.0,5.2,28.787,86.007,,
2010,1,6,19,50,328.0,5.1,28.787,86.007,,
2010,1,6,20,50,359.0,4.9,28.787,86.007,,
2010,1,6,21,50,358.0,4.9,28.787,86.007,,
2010,1,6,22,50,349.0,3.5,28.787,86.007,,
2010,1,6,23,50,344.0,2.4,28.787,86.007,,
2010,1,7,0,50,1.0,3.8,28.787,86.007,,
2010,1,7,1,50,347.0,3.5,28.787,86.007,,
2010,1,7,2,50,347.0,3.9,28.787,86.007,,
2010,1,7,3,50,335.0,2.6,28.787,86.007,,
2010,1,7,4,50,344.0,2.8,28.787,86.007,,
2010,1,7,5,50,331.0,1.6,28.787,86.007,,
2010,1,7,6,50,344.0,2.5,28.787,86.007,,
2010,1,7,7,50,22.0,3.0,28.787,86.007,,
2010,1,7,8,50,355.0,2.5,28.787,86.007,,
2010,1,7,9,50,310.0,0.7,28.787,86.007,,
2010,1,7,10,50,70.0,1.2,28.787,86.007,,
2010,1,7,11,50,130.0,5.0,28.787,86.007,,
2010,1,7,12,50,151.0,3.9,28.787,86.007,,
2010,1,7,13,50,159.0,1.7,28.787,86.007,,
2010,1,7,14,50,133.0,3.3,28.787,86.007,,
2010,1,7,15,50,177.0,3.3,28.787,86.007,,
2010,1,7,16,50,169.0,4.5,28.787,86.007,,
2010,1,7,17,50,163.0,4.7,28.787,86.007,,
2010,1,7,18,50,172.0,7.5,28.787,86.007,,
2010,1,7,19,50,178.0,7.9,28.787,86.007,,
2010,1,7,20,50,184.0,6.5,28.787,86.007,,
2010,1,7,21,50,186.0,7.3,28.787,86.007,,
2010,1,7,22,50,197.0,7.1,28.787,86.007,,
2010,1,7,23,50,203.0,6.4,28.787,86.007,,
2010,1,8,0,50,220.0,7.2,28.787,86.007,,
2010,1,8,1,50,226.0,7.0,28.787,86.007,,
2010,1,8,2,50,229.0,6.2,28.787,86.007,,
2010,1,8,3,50,221.0,7.9,28.787,86.007,,
2010,1,8,4,50,217.0,8.0,28.787,86.007,,
2010,1,8,5,50,222.0,8.3,28.787,86.007,,
2010,1,8,6,50,234.0,8.4,28.787,86.007,,
2010,1,8,7,50,339.0,12.7,28.787,86.007,,
2010,1,8,8,50,342.0,11.0,28.787,86.007,,
2010,1,8,9,50,350.0,11.3,28.787,86.007,,
2010,1,8,10,50,348.0,11.9,28.787,86.007,,
2010,1,8,11,50,348.0,11.3,28.787,86.007,,
2010,1,8,12,50,345.0,11.9,28.787,86.007,,
2010,1,8,13,50,356.0,10.9,28.787,86.007,,
2010,1,8,14,50,1.0,11.3,28.787,86.007,,
2010,1,8,15,50,348.0,11.2,28.787,86.007,,
2010,1,8,16,50,5.0,10.2,28.787,86.007,,
2010,1,8,17,50,359.0,9.8,28.787,86.007,,
2010,1,8,18,50,357.0,10.5,28.787,86.007,,
2010,1,8,19,50,351.0,9.8,28.787,86.007,,
2010,1,8,20,50,353.0,9.6,28.787,86.007,,
2010,1,8,21,50,349.0,9.2,28.787,86.007,,
2010,1,8,22,50,347.0,9.5,28.787,86.007,,
2010,1,8,23,50,351.0,9.8,28.787,86.007,,
2010,1,9,0,50,5.0,10.3,28.787,86.007,,
2010,1,9,1,50,5.0,11.7,28.787,86.007,,
2010,1,9,2,50,12.0,9.9,28.787,86.007,,
2010,1,9,3,50,5.0,9.6,28.787,86.007,,
2010,1,9,4,50,2.0,9.3,28.787,86.007,,
2010,1,9,5,50,5.0,8.6,28.787,86.007,,
2010,1,9,6,50,8.0,9.0,28.787,86.007,,
2010,1,9,7,50,351.0,8.3,28.787,86.007,,
2010,1,9,8,50,354.0,9.1,28.787,86.007,,
2010,1,9,9,50,343.0,9.4,28.787,86.007,,
2010,1,9,10,50,355.0,9.7,28.787,86.007,,
2010,1,9,11,50,348.0,9.7,28.787,86.007,,
2010,1,9,12,50,341.0,9.5,28.787,86.007,,
2010,1,9,13,50,357.0,9.8,28.787,86.007,,
2010,1,9,14,50,350.0,9.5,28.787,86.007,,
2010,1,9,15,50,354.0,9.4,28.787,86.007,,
2010,1,9,16,50,356.0,8.9,28.787,86.007,,
2010,1,9,17,50,352.0,9.1,28.787,86.007,,
2010,1,9,18,50,344.0,8.4,28.787,86.007,,
2010,1,9,19,50,346.0,9.1,28.787,86.007,,
2010,1,9,20,50,350.0,8.9,28.787,86.007,,
2010,1,9,21,50,339.0,8.2,28.787,86.007,,
2010,1,9,22,50,349.0,8.8,28.787,86.007,,
2010,1,9,23,50,358.0,8.2,28.787,86.007,,
2010,1,10,0,50,353.0,8.0,28.787,86.007,,
2010,1,10,1,50,352.0,8.4,28.787,86.007,,
