year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed
2010,3,1,0,0,263.0,0.222,28.351,96.006,,
2010,3,1,0,30,264.0,0.158,28.351,96.006,,
2010,3,1,1,0,256.0,0.206,28.351,96.006,,
2010,3,1,1,30,251.0,0.198,28.351,96.006,,
2010,3,1,2,0,258.0,0.182,28.351,96.006,,
2010,3,1,2,30,244.0,0.192,28.351,96.006,,
2010,3,1,3,0,239.0,0.195,28.351,96.006,,
2010,3,1,3,30,240.0,0.259,28.351,96.006,,
2010,3,1,4,0,230.0,0.21,28.351,96.006,,
2010,3,1,4,30,236.0,0.22,28.351,96.006,,
2010,3,1,5,0,224.0,0.23,28.351,96.006,,
2010,3,1,5,30,242.0,0.23,28.351,96.006,,
2010,3,1,6,0,228.0,0.26,28.351,96.006,,
2010,3,1,6,30,216.0,0.26,28.351,96.006,,
2010,3,1,7,0,219.0,0.29,28.351,96.006,,
2010,3,1,7,30,212.0,0.31,28.351,96.006,,
2010,3,1,8,0,212.0,0.39,28.351,96.006,,
2010,3,1,8,30,212.0,0.41,28.351,96.006,,
2010,3,1,9,0,219.0,0.46,28.351,96.006,,
2010,3,1,9,30,228.0,0.462,28.351,96.006,,
2010,3,1,10,0,225.0,0.484,28.351,96.006,,
2010,3,1,10,30,226.0,0.519,28.351,96.006,,
2010,3,1,11,0,228.0,0.514,28.351,96.006,,
2010,3,1,11,30,229.0,0.5660000000000001,28.351,96.006,,
2010,3,1,12,0,227.0,0.557,28.351,96.006,,
2010,3,1,12,30,227.0,0.5529999999999999,28.351,96.006,,
2010,3,1,13,0,226.0,0.621,28.351,96.006,,
2010,3,1,13,30,226.0,0.598,28.351,96.006,,
2010,3,1,14,0,228.0,0.5650000000000001,28.351,96.006,,
2010,3,1,14,30,226.0,0.584,28.351,96.006,,
2010,3,1,15,0,228.0,0.625,28.351,96.006,,
2010,3,1,15,30,233.0,0.589,28.351,96.006,,
2010,3,1,16,0,232.0,0.605,28.351,96.006,,
2010,3,1,16,30,226.0,0.6509999999999999,28.351,96.006,,
2010,3,1,17,0,229.0,0.58,28.351,96.006,,
2010,3,1,17,30,230.0,0.596,28.351,96.006,,
2010,3,1,18,0,227.0,0.637,28.351,96.006,,
2010,3,1,18,30,229.0,0.623,28.351,96.006,,
2010,3,1,19,0,226.0,0.639,28.351,96.006,,
2010,3,1,19,30,227.0,0.6020000000000001,28.351,96.006,,
2010,3,1,20,0,230.0,0.555,28.351,96.006,,
2010,3,1,20,30,224.0,0.578,28.351,96.006,,
2010,3,1,21,0,227.0,0.62,28.351,96.006,,
2010,3,1,21,30,229.0,0.608,28.351,96.006,,
2010,3,1,22,0,223.0,0.623,28.351,96.006,,
2010,3,1,22,30,218.0,0.574,28.351,96.006,,
2010,3,1,23,0,210.0,0.528,28.351,96.006,,
2010,3,1,23,30,211.0,0.519,28.351,96.006,,
2010,3,2,0,0,216.0,0.524,28.351,96.006,,
2010,3,2,0,30,218.0,0.574,28.351,96.006,,
2010,3,2,1,0,225.0,0.595,28.351,96.006,,
2010,3,2,1,30,223.0,0.6409999999999999,28.351,96.006,,
2010,3,2,2,0,220.0,0.657,28.351,96.006,,
2010,3,2,2,30,216.0,0.7000000000000001,28.351,96.006,,
2010,3,2,3,0,217.0,0.6940000000000001,28.351,96.006,,
2010,3,2,3,30,214.0,0.745,28.351,96.006,,
2010,3,2,4,0,212.0,0.813,28.351,96.006,,
2010,3,2,4,30,211.0,0.843,28.351,96.006,,
2010,3,2,5,0,212.0,0.81,28.351,96.006,,
2010,3,2,5,30,210.0,0.85,28.351,96.006,,
2010,3,2,6,0,216.0,0.84,28.351,96.006,,
2010,3,2,6,30,213.0,0.8200000000000001,28.351,96.006,,
2010,3,2,7,0,217.0,0.78,28.351,96.006,,
2010,3,2,7,30,222.0,0.746,28.351,96.006,,
2010,3,2,8,0,223.0,0.763,28.351,96.006,,
2010,3,2,8,30,221.0,0.838,28.351,96.006,,
2010,3,2,9,0,222.0,0.8140000000000001,28.351,96.006,,
2010,3,2,9,30,223.0,0.8420000000000001,28.351,96.006,,
2010,3,2,10,0,226.0,0.8190000000000001,28.351,96.006,,
2010,3,2,10,30,228.0,0.823,28.351,96.006,,
2010,3,2,11,0,234.0,0.743,28.351,96.006,,
2010,3,2,11,30,228.0,0.718,28.351,96.006,,
2010,3,2,12,0,223.0,0.92,28.351,96.006,,
2010,3,2,12,30,230.0,0.7390000000000001,28.351,96.006,,
2010,3,2,13,0,236.0,0.772,28.351,96.006,,
2010,3,2,13,30,239.0,0.638,28.351,96.006,,
2010,3,2,14,0,233.0,0.634,28.351,96.006,,
