time,coord,wind,current
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.19767, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.220174999999998, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.211173, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.229177, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.215674, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.731796)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.224676, longitude=-88.74242799999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77964)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77432400000001)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.769008)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.238179, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.758376)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.75306)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.747744)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.76369199999999)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
300.0,"CoordinatesBase(latitude=30.202171, longitude=-88.737112)","SpeedMeasure(0.46885007970071096,-2.658980933132962)","SpeedMeasure(0.15901782283581717,-0.025185948871477206)"
