time,coord,wind,current
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.747744)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.731796)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.737112)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.74242799999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.75306)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.758376)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.758376)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.75306)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.758376)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.75306)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.747744)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.215674, longitude=-88.74242799999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.202171, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.747744)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.211173, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.737112)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.758376)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.75306)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.747744)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.74242799999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.737112)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.731796)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.731796)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.74242799999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.747744)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.75306)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.758376)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.206671999999998, longitude=-88.737112)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.233678, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.731796)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.737112)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.229177, longitude=-88.731796)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77964)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.77432400000001)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.769008)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
240.0,"CoordinatesBase(latitude=30.238179, longitude=-88.76369199999999)","SpeedMeasure(-5.037210537035202,0.7978157717051779)","SpeedMeasure(-1.5499999999999994,2.68467875173176)"
