time,coord,wind,current
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.77964)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.747744)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.75306)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.224676, longitude=-88.74242799999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.769008)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.76369199999999)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.215674, longitude=-88.758376)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
120.0,"CoordinatesBase(latitude=30.229177, longitude=-88.77432400000001)","SpeedMeasure(1.2542878234085513,-3.267531492740206)","SpeedMeasure(0.04370955745868467,-0.05209102213209051)"
